uID,Context,Prompt,Target
SWBD-446,"B: it is a lot of repeat crime. And you are like, why are they repeating? They should have been in there longer. Or, A: I know. And then you think, I mean, I mean, I can remember, I have not been out of school that long, but it has been at least ten years. And you think to yourself, was it that bad back then? Or is it just, I think that, like you said, television?",there is excitement in it,"Is it just that more people think there is like excitement in it, you know?"
SWBD-447,"B: Uh-huh. So, yeah, that's the thing is just to look at the school system in the area that you move into before you. A: Uh-huh. Of course we have a slight problem in that, uh, the number of the illiterate in America is mushrooming at this point, and, uh, you know, where our kids might be in a great school, we're still paying an awful lot of taxes for people who are on welfare and unemployment because they can't read, you know. B: Uh-huh. A: So. B:",there should be a nationwide curriculum,"But do you think that there should be, um, nationwide, um, curriculum?"
SWBD-448,"B: Yeah, I think that, um, in the future, um, the family unit as it once was known, is going to be nonexistent. what do you think? A: About? B: That as far as",there's going to still be a family unit,do you think there's going to be still a family unit
SWBD-449,"A: Oh, okay. uh, you ready to begin? B: We might as well. A: Oh, okay. Okay. B:",they are doing care of the elderly,"I understand we are doing care of the elderly, right?"
SWBD-45,"A: Well, uh, it seems to me uh, that I do not know whether the jury system, uh,",he does not know,I should not say I do not know.
SWBD-450,"B: And yet, uh, I we-, I hope to see employer based, you know, helping out. You know, child, uh, care centers at the place of employment and things like that, that will help out. A: Uh-huh. B: What do you think,",they are setting a trend,"do you think we are, setting a trend?"
SWBD-451,"A: that's one difference. There really wasn't a lot of difference. B: I didn't, see I never even heard that there was a book tied in with that movie. That's interesting. That was a good movie, too. A:",they covered baseball,"Well, do you think we covered baseball?"
SWBD-452,"A: So, we're comparable. B: Yeah. A: As a matter of fact, I just paid my Richardson taxes because I live in Richardson and supplemented the Robin Hoods very thoroughly, I think. B: Yeah,",they have got it on the line,"I think Yeah, we have got it on the line, don't we."
SWBD-453,"B: Yeah, that's probably true. You know A: But, I think that's a small, uh, number could, B:",they participate as much as maybe they used to,"but even through those groups, do you think that they participate as much as maybe they used to?"
SWBD-454,"B: But, then, you know, I think that some murderers don't really warrant capital punishment. You know, like, for example, uh, you know, you hear about cases where women have killed their husbands who abused them A: Uh-huh.  Uh-huh.  Right, uh-huh. B: and I don't think, that would really warrant capital punishment. A: Uh-huh,",they should be punished,"huh. Do you think they should be punished at all, or, uh, like go to prison, uh,"
SWBD-455,"A: But, you know, I think that, um, we chose to have our official feelings hurt. B: Uh-huh. A: Where a lot w-, B:",they should have ignored it,"Well, do you think that, uh, we should ignore it and just allowed him to go ahead and, uh, you know, move on into Kuwait and see what happens?"
SWBD-456,"A: Sometimes you hear things on the radio that, you know, could be true or couldn't be. B: Uh-huh. A: Uh, do you feel like this is, I guess they're spending a billion or so a year on this AIDS research. B: Uh-huh. A:",they should spend more,Do you think they should spend more?
SWBD-457,"B: when you've lost something or uh, uh, don't have what other people have that's when you tend to realize, you know, what's out there and you know, what you have and what you don't have. A: Yeah I agree. B: So the original question,",they're a security threat,"do we think they're you know, a security threat?"
SWBD-458,"A: And now, uh, it's pretty much an economic necessity in most places for both parents to work. B: Do you think it's an economic necessity",they're all trying to keep up with a certain standard of living,"or do you think that we're, uh, all trying to keep up with a certain standard of living?"
SWBD-459,"B: Oh, boy. He is tough, he has an incredible leg. A: He is.  Yes. B:",they're going to be able to make it this year,"Well, do you think they're going to be able to make it this year, past the first playoff game?"
SWBD-46,"A: It's depressing. B: Uh-huh, it is, and you know, you don't spi-, well. Speaking for myself I don't sleep as well, when I am not exercising, and uh, it's harder to get out of bed in the morning and all kinds of stuff, your body just gets used to it. Yeah, I don't particularly enjoy it. Well I used to lift weights an awful lot, and stuff like that. I do enjoy riding bike,",he really enjoyed working out and lifting all that much,"but as far as the working out and lifting and things like that. Uh, I can't say I really enjoyed it all that much,"
